xorg-x11-drv-openchrome-0.5.0-3,  xorg-x11-drv-openchrome,  0.5.0-3
iwl100-firmware-39.31.5.1-62.2.el7_5,  iwl100-firmware-39,  31.5.1-62.2.el7_5
ntp-4.2.6p5-28,  ntp-4.2.6p5-28, ???
compat-libtiff3-3.9.4-11,  compat-libtiff3,  3.9.4-11
iwl6000g2a-firmware-17.168.5.3-62.2.el7_5,  iwl6000g2a-firmware-17,  168.5.3-62.2.el7_5
screen-4.1.0-0.25.20120314git3c2946,  screen,  4.1.0-0.25.20120314git3c2946
libaio-devel-0.3.109-13,  libaio-devel,  0.3.109-13
libnfsidmap-0.25-19,  libnfsidmap,  0.25-19
nfs-utils-1.3.0-0.54,  nfs-utils,  1.3.0-0.54
ksh-20120801-137,  ksh-20120801-137, ???
libXau-1.0.8-2.1,  libXau,  1.0.8-2.1
glibc-common-2.17-222,  glibc-common,  2.17-222
nss_compat_ossl-0.9.6-8,  nss_compat_ossl,  0.9.6-8
libxshmfence-1.2-1,  libxshmfence,  1.2-1
libldb-1.2.2-1,  libldb,  1.2.2-1
tmux-1.8-4,  tmux,  1.8-4
libXdmcp-1.1.2-6,  libXdmcp,  1.1.2-6
openldap-2.4.44-15.el7_5,  openldap,  2.4.44-15.el7_5
nss-softokn-freebl-3.36.0-5.el7_5.i686,  nss-softokn-freebl,  3.36.0-5.el7_5.i686
mesa-libglapi-17.2.3-8.20171019,  mesa-libglapi,  17.2.3-8.20171019
libsmbclient-4.7.1-6,  libsmbclient,  4.7.1-6
python-pycurl-7.19.0-19,  python-pycurl,  7.19.0-19
libstdc++-devel-4.8.5-28.el7_5.1.i686,  libstdc++-devel,  4.8.5-28.el7_5.1.i686
xcb-util-image-0.4.0-2,  xcb-util-image,  0.4.0-2
libkadm5-1.15.1-19,  libkadm5,  1.15.1-19
oracleasm-support-2.1.8-3,  oracleasm-support,  2.1.8-3
libXfont-1.5.2-1,  libXfont,  1.5.2-1
libipa_hbac-1.16.0-19.el7_5.5,  libipa_hbac,  1.16.0-19.el7_5.5
gpgme-1.3.2-5,  gpgme,  1.3.2-5
htop-2.2.0-1,  htop,  2.2.0-1
mesa-libxatracker-17.2.3-8.20171019,  mesa-libxatracker,  17.2.3-8.20171019
libsss_sudo-1.16.0-19.el7_5.5,  libsss_sudo,  1.16.0-19.el7_5.5
libX11-1.6.5-1,  libX11,  1.6.5-1
sssd-ad-1.16.0-19.el7_5.5,  sssd-ad,  1.16.0-19.el7_5.5
libdaemon-0.14-7,  libdaemon,  0.14-7
libXv-1.0.11-1,  libXv,  1.0.11-1
sssd-proxy-1.16.0-19.el7_5.5,  sssd-proxy,  1.16.0-19.el7_5.5
